unit_id,effect,lat,lon,I_local,lag_z,z,p_perm,cluster,is_treated
QUEENS 83,0.0800865800865801,40.64832048620134,-73.78828125130184,-0.016898000408272967,-0.1732399866405278,0.09754099348516022,0.4709418837675351,ns,False
QUEENS 84,-0.09523809523809523,40.56776571637885,-73.87338725171142,-0.011238887171191826,-0.13252966980997855,0.08480280066573906,0.6833667334669339,ns,False
STATEN ISLAND 01,-9.3982683982684,40.6298902964034,-74.11243872322223,-0.1897208344225446,0.3209581363409253,-0.5911077269623133,0.3867735470941884,ns,True
STATEN ISLAND 02,-1.0541125541125531,40.59201886098296,-74.10346755195457,0.000599737384782684,0.03962351840918184,0.01513589425828749,0.8977955911823647,ns,True
STATEN ISLAND 03,-0.35064935064934843,40.550331205197246,-74.17069780433157,0.00341157477490078,0.05149863426096417,0.06624592717571823,0.9038076152304609,ns,True
STATEN ISLAND 95,-0.047619047619047616,40.57219698249872,-74.08782263208587,0.00604230515413202,0.06845830641322717,0.08826255674014974,0.8256513026052105,ns,False
Unspecified BRONX,-1.8506493506493507,40.824660137923765,-73.88295828401812,0.0021961034291583764,-0.051387201209584864,-0.04273638916821868,0.779559118236473,ns,False
Unspecified BROOKLYN,-6.961038961038962,40.638540596397675,-73.98637295227087,-0.07241154260934239,0.174893960876515,-0.41403112060838415,0.3527054108216433,ns,False
Unspecified MANHATTAN,-6.712121212121213,40.77312489997925,-73.95667505262564,-0.08968005205203325,0.22649564535481134,-0.39594603203760104,0.08617234468937876,ns,False
Unspecified QUEENS,-2.5757575757575757,40.712557502146794,-73.86861288807984,-0.0035260828541924636,0.036953661556929834,-0.09541903848310873,0.8356713426853707,ns,False
